card_id,verb_id,verb,tense_id,tense,person_id,person_grammatical,person_display,hypothetical_regular_form,conjugated_verb,regular,sentence,sentence_with_cloze
4_12_21,4,tener,12,¡ imperativo negativo !,21,2nd_singular,tú,,,,,
4_12_33,4,tener,12,¡ imperativo negativo !,33,2nd_singular_polite,usted,,,,,
4_12_12,4,tener,12,¡ imperativo negativo !,12,1st_plural,nosotros,,,,,
4_12_34,4,tener,12,¡ imperativo negativo !,34,2nd_plural_polite,ustedes,,,,,
5_1_0,5,hacer,1,infinitivo,0,NA,NA,hacer,hacer,TRUE,,
5_2_0,5,hacer,2,gerundio,0,NA,NA,haciendo,,,,
5_3_0,5,hacer,3,participio,0,NA,NA,hacido,,,,
5_4_11,5,hacer,4,⊙ indicativo presente ⊙,11,1st_singular,yo,haco,,,,
5_4_21,5,hacer,4,⊙ indicativo presente ⊙,21,2nd_singular,tú,haces,,,,
5_4_31,5,hacer,4,⊙ indicativo presente ⊙,31,3rd_singular,él/ella,hace,,,,
5_4_12,5,hacer,4,⊙ indicativo presente ⊙,12,1st_plural,nosotros,hacemos,,,,
5_4_32,5,hacer,4,⊙ indicativo presente ⊙,32,3rd_plural,ellos/ellas,hacen,,,,
5_5_11,5,hacer,5,⇠ indicativo imperfecto ⇠,11,1st_singular,yo,hacía,,,,
5_5_21,5,hacer,5,⇠ indicativo imperfecto ⇠,21,2nd_singular,tú,hacías,,,,
5_5_31,5,hacer,5,⇠ indicativo imperfecto ⇠,31,3rd_singular,él/ella,hacía,,,,
5_5_12,5,hacer,5,⇠ indicativo imperfecto ⇠,12,1st_plural,nosotros,hacíamos,,,,
5_5_32,5,hacer,5,⇠ indicativo imperfecto ⇠,32,3rd_plural,ellos/ellas,hacían,,,,
5_6_11,5,hacer,6,↧ indicativo pretérito ↧,11,1st_singular,yo,hací,,,,
5_6_21,5,hacer,6,↧ indicativo pretérito ↧,21,2nd_singular,tú,haciste,,,,
5_6_31,5,hacer,6,↧ indicativo pretérito ↧,31,3rd_singular,él/ella,hació,,,,
5_6_12,5,hacer,6,↧ indicativo pretérito ↧,12,1st_plural,nosotros,hacimos,,,,
5_6_32,5,hacer,6,↧ indicativo pretérito ↧,32,3rd_plural,ellos/ellas,hacieron,,,,
5_7_11,5,hacer,7,→ indicativo futuro →,11,1st_singular,yo,haceré,,,,
5_7_21,5,hacer,7,→ indicativo futuro →,21,2nd_singular,tú,hacerás,,,,
5_7_31,5,hacer,7,→ indicativo futuro →,31,3rd_singular,él/ella,hacerá,,,,
5_7_12,5,hacer,7,→ indicativo futuro →,12,1st_plural,nosotros,haceremos,,,,
5_7_32,5,hacer,7,→ indicativo futuro →,32,3rd_plural,ellos/ellas,hacerán,,,,
5_8_11,5,hacer,8,◇ condicional ◇,11,1st_singular,yo,,,,,
5_8_21,5,hacer,8,◇ condicional ◇,21,2nd_singular,tú,,,,,
5_8_31,5,hacer,8,◇ condicional ◇,31,3rd_singular,él/ella,,,,,
5_8_12,5,hacer,8,◇ condicional ◇,12,1st_plural,nosotros,,,,,
5_8_32,5,hacer,8,◇ condicional ◇,32,3rd_plural,ellos/ellas,,,,,
5_9_11,5,hacer,9,∿ subjuntivo presente ∿,11,1st_singular,yo,,,,,
5_9_21,5,hacer,9,∿ subjuntivo presente ∿,21,2nd_singular,tú,,,,,
5_9_31,5,hacer,9,∿ subjuntivo presente ∿,31,3rd_singular,él/ella,,,,,
5_9_12,5,hacer,9,∿ subjuntivo presente ∿,12,1st_plural,nosotros,,,,,
5_9_32,5,hacer,9,∿ subjuntivo presente ∿,32,3rd_plural,ellos/ellas,,,,,
5_10_11,5,hacer,10,↫ subjuntivo imperfecto ↫,11,1st_singular,yo,,,,,
5_10_21,5,hacer,10,↫ subjuntivo imperfecto ↫,21,2nd_singular,tú,,,,,
5_10_31,5,hacer,10,↫ subjuntivo imperfecto ↫,31,3rd_singular,él/ella,,,,,
5_10_12,5,hacer,10,↫ subjuntivo imperfecto ↫,12,1st_plural,nosotros,,,,,
5_10_32,5,hacer,10,↫ subjuntivo imperfecto ↫,32,3rd_plural,ellos/ellas,,,,,
5_11_21,5,hacer,11,¡ imperativo afirmativo !,21,2nd_singular,tú,,,,,
5_11_33,5,hacer,11,¡ imperativo afirmativo !,33,2nd_singular_polite,usted,,,,,
5_11_12,5,hacer,11,¡ imperativo afirmativo !,12,1st_plural,nosotros,,,,,
5_11_34,5,hacer,11,¡ imperativo afirmativo !,34,2nd_plural_polite,ustedes,,,,,
5_12_21,5,hacer,12,¡ imperativo negativo !,21,2nd_singular,tú,,,,,
5_12_33,5,hacer,12,¡ imperativo negativo !,33,2nd_singular_polite,usted,,,,,
5_12_12,5,hacer,12,¡ imperativo negativo !,12,1st_plural,nosotros,,,,,
5_12_34,5,hacer,12,¡ imperativo negativo !,34,2nd_plural_polite,ustedes,,,,,
6_1_0,6,poder,1,infinitivo,0,NA,NA,poder,poder,TRUE,,
6_2_0,6,poder,2,gerundio,0,NA,NA,podiendo,,,,
6_3_0,6,poder,3,participio,0,NA,NA,podido,,,,
6_4_11,6,poder,4,⊙ indicativo presente ⊙,11,1st_singular,yo,podo,,,,
6_4_21,6,poder,4,⊙ indicativo presente ⊙,21,2nd_singular,tú,podes,,,,
6_4_31,6,poder,4,⊙ indicativo presente ⊙,31,3rd_singular,él/ella,pode,,,,
6_4_12,6,poder,4,⊙ indicativo presente ⊙,12,1st_plural,nosotros,podemos,,,,
6_4_32,6,poder,4,⊙ indicativo presente ⊙,32,3rd_plural,ellos/ellas,poden,,,,
6_5_11,6,poder,5,⇠ indicativo imperfecto ⇠,11,1st_singular,yo,podía,,,,
6_5_21,6,poder,5,⇠ indicativo imperfecto ⇠,21,2nd_singular,tú,podías,,,,
6_5_31,6,poder,5,⇠ indicativo imperfecto ⇠,31,3rd_singular,él/ella,podía,,,,
6_5_12,6,poder,5,⇠ indicativo imperfecto ⇠,12,1st_plural,nosotros,podíamos,,,,
6_5_32,6,poder,5,⇠ indicativo imperfecto ⇠,32,3rd_plural,ellos/ellas,podían,,,,
6_6_11,6,poder,6,↧ indicativo pretérito ↧,11,1st_singular,yo,podí,,,,
6_6_21,6,poder,6,↧ indicativo pretérito ↧,21,2nd_singular,tú,podiste,,,,
6_6_31,6,poder,6,↧ indicativo pretérito ↧,31,3rd_singular,él/ella,podió,,,,
6_6_12,6,poder,6,↧ indicativo pretérito ↧,12,1st_plural,nosotros,podimos,,,,
6_6_32,6,poder,6,↧ indicativo pretérito ↧,32,3rd_plural,ellos/ellas,podieron,,,,
6_7_11,6,poder,7,→ indicativo futuro →,11,1st_singular,yo,poderé,,,,
6_7_21,6,poder,7,→ indicativo futuro →,21,2nd_singular,tú,poderás,,,,
6_7_31,6,poder,7,→ indicativo futuro →,31,3rd_singular,él/ella,poderá,,,,
6_7_12,6,poder,7,→ indicativo futuro →,12,1st_plural,nosotros,poderemos,,,,
6_7_32,6,poder,7,→ indicativo futuro →,32,3rd_plural,ellos/ellas,poderán,,,,
6_8_11,6,poder,8,◇ condicional ◇,11,1st_singular,yo,,,,,
6_8_21,6,poder,8,◇ condicional ◇,21,2nd_singular,tú,,,,,
6_8_31,6,poder,8,◇ condicional ◇,31,3rd_singular,él/ella,,,,,
6_8_12,6,poder,8,◇ condicional ◇,12,1st_plural,nosotros,,,,,
6_8_32,6,poder,8,◇ condicional ◇,32,3rd_plural,ellos/ellas,,,,,
6_9_11,6,poder,9,∿ subjuntivo presente ∿,11,1st_singular,yo,,,,,
6_9_21,6,poder,9,∿ subjuntivo presente ∿,21,2nd_singular,tú,,,,,
6_9_31,6,poder,9,∿ subjuntivo presente ∿,31,3rd_singular,él/ella,,,,,
6_9_12,6,poder,9,∿ subjuntivo presente ∿,12,1st_plural,nosotros,,,,,
6_9_32,6,poder,9,∿ subjuntivo presente ∿,32,3rd_plural,ellos/ellas,,,,,
6_10_11,6,poder,10,↫ subjuntivo imperfecto ↫,11,1st_singular,yo,,,,,
6_10_21,6,poder,10,↫ subjuntivo imperfecto ↫,21,2nd_singular,tú,,,,,
6_10_31,6,poder,10,↫ subjuntivo imperfecto ↫,31,3rd_singular,él/ella,,,,,
6_10_12,6,poder,10,↫ subjuntivo imperfecto ↫,12,1st_plural,nosotros,,,,,
6_10_32,6,poder,10,↫ subjuntivo imperfecto ↫,32,3rd_plural,ellos/ellas,,,,,
6_11_21,6,poder,11,¡ imperativo afirmativo !,21,2nd_singular,tú,,,,,
6_11_33,6,poder,11,¡ imperativo afirmativo !,33,2nd_singular_polite,usted,,,,,
6_11_12,6,poder,11,¡ imperativo afirmativo !,12,1st_plural,nosotros,,,,,
6_11_34,6,poder,11,¡ imperativo afirmativo !,34,2nd_plural_polite,ustedes,,,,,
6_12_21,6,poder,12,¡ imperativo negativo !,21,2nd_singular,tú,,,,,
6_12_33,6,poder,12,¡ imperativo negativo !,33,2nd_singular_polite,usted,,,,,
6_12_12,6,poder,12,¡ imperativo negativo !,12,1st_plural,nosotros,,,,,
6_12_34,6,poder,12,¡ imperativo negativo !,34,2nd_plural_polite,ustedes,,,,,
7_1_0,7,decir,1,infinitivo,0,NA,NA,decir,decir,TRUE,,
7_2_0,7,decir,2,gerundio,0,NA,NA,deciendo,,,,
7_3_0,7,decir,3,participio,0,NA,NA,decido,,,,
7_4_11,7,decir,4,⊙ indicativo presente ⊙,11,1st_singular,yo,deco,,,,
7_4_21,7,decir,4,⊙ indicativo presente ⊙,21,2nd_singular,tú,deces,,,,
7_4_31,7,decir,4,⊙ indicativo presente ⊙,31,3rd_singular,él/ella,dece,,,,
7_4_12,7,decir,4,⊙ indicativo presente ⊙,12,1st_plural,nosotros,decimos,,,,
7_4_32,7,decir,4,⊙ indicativo presente ⊙,32,3rd_plural,ellos/ellas,decen,,,,
7_5_11,7,decir,5,⇠ indicativo imperfecto ⇠,11,1st_singular,yo,decía,,,,
7_5_21,7,decir,5,⇠ indicativo imperfecto ⇠,21,2nd_singular,tú,decías,,,,
